run_accession	instrument_model	library_name	fastq_md5	fastq_ftp	sample_alias
SRR7109414	Illumina MiSeq	m6-736-1	ba9802378142456c0f0c9ba9b2b9cd07;63a1824f9482708afe0a9cdcb2e1df1b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109414/SRR7109414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109414/SRR7109414_2.fastq.gz	736-1
SRR7109415	Illumina MiSeq	m6-301-2	109a501b445144f05610b9666e06a8c3;f6915d2e66e969162438ffbacdcd7364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109415/SRR7109415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109415/SRR7109415_2.fastq.gz	301-2
SRR7109416	Ion Torrent PGM	m5-SynMock	96d841672ec0e581ef25f05134b08ef4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109416/SRR7109416.fastq.gz	SynMock
SRR7109417	Illumina MiSeq	m6-755-2	39d802f2677196b091509546802ba261;cf014f53ab13c37725ef37d827b80aea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109417/SRR7109417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109417/SRR7109417_2.fastq.gz	755-2
SRR7109418	Illumina MiSeq	m6-736-2	0005371771e6c5a2bcec559748144543;c6cf985f7b62e034f57f3bd80c4865b6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109418/SRR7109418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109418/SRR7109418_2.fastq.gz	736-2
SRR7109419	Ion Torrent PGM	m5-736-1	10cf2f8f9816e527a351ca31a26912f9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109419/SRR7109419.fastq.gz	736-1
SRR7109420	Illumina MiSeq	m6-SynMock	143801058c91b4cdcefea9f226e42a71;6c864b4685b6b71e878784aa3bc9f895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109420/SRR7109420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109420/SRR7109420_2.fastq.gz	SynMock
SRR7109421	Ion Torrent PGM	m5-755-2	69a548e070bb05c848079d754152f807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/001/SRR7109421/SRR7109421.fastq.gz	755-2
SRR7109422	Ion Torrent PGM	m5-744-2	763af5e5aa5f7e125759db7ad133aab0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/002/SRR7109422/SRR7109422.fastq.gz	744-2
SRR7109423	Ion Torrent PGM	m5-500-1	ca65bc88bf05690367661c09cd1b154c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/003/SRR7109423/SRR7109423.fastq.gz	500-1
SRR7109424	Ion Torrent PGM	m5-766-1	d68acafb1dc87f9a0207fe22a186ff45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/004/SRR7109424/SRR7109424.fastq.gz	766-1
SRR7109425	Ion Torrent PGM	m5-757-2	4be2266c174e3ed30cf2b945877ac927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/005/SRR7109425/SRR7109425.fastq.gz	757-2
SRR7109426	Illumina MiSeq	m4b-766-2	9e09e5d2e6a8281b93c979e246891e67;fab0990c9997a711c67341744187e118	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109426/SRR7109426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/006/SRR7109426/SRR7109426_2.fastq.gz	766-2
SRR7109427	Ion Torrent PGM	m5-301-2	76aa66d793844e4d0596d23b70a911c7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/007/SRR7109427/SRR7109427.fastq.gz	301-2
SRR7109428	Illumina MiSeq	m4b-744-2	018ae77df55fe89a4b9be68f91957eb1;d27d8c9d01c8ec0bded21d79bbeac48e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109428/SRR7109428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/008/SRR7109428/SRR7109428_2.fastq.gz	744-2
SRR7109429	Ion Torrent PGM	m5-712-1	e1711df38460129b982bc78f116ddcf7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/009/SRR7109429/SRR7109429.fastq.gz	712-1
SRR7109430	Illumina MiSeq	m4b-766-1	4dea9f04b97b8869bbb98508bd770f87;614d02a9459f4cb9b5ee2bc4b1951384	ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109430/SRR7109430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR710/000/SRR7109430/SRR7109430_2.fastq.gz	766-1
