run_accession	library_name	run_alias	fastq_md5	fastq_ftp	sample_alias	sample_title
SRR13393805	DS-5-6	DAL-16_S77_L001_R1_001.fastq.gz	1086f3883a9fbc7d50497baa9e219a75;15565bb50cc350eaf26e0e34891af5b9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13393805/SRR13393805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13393805/SRR13393805_2.fastq.gz	DS5-6	PCR of ITS
SRR13393806	DS-5-4	DAL-14_S65_L001_R1_001.fastq.gz	4a29f13eede2e99bdc57d83e4e6920a7;5ef88aedb7506e1af6fa7c7e38b97f7c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13393806/SRR13393806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13393806/SRR13393806_2.fastq.gz	DS5-4	PCR of ITS
SRR13393807	DS-5-3	DAL-13_S53_L001_R1_001.fastq.gz	ab5616d8175da1ade75ea9b2306c828b;88c0edf0c8fd638c4f6e654821773190	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13393807/SRR13393807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13393807/SRR13393807_2.fastq.gz	DS5-3	PCR of ITS
SRR13393808	US-1-3	dal3_S92_L001_R1_001.fastq.gz	571454a8d4e88cf5bcc5399fe837862d;18d4212a40c72bfded77d132defb1313	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13393808/SRR13393808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13393808/SRR13393808_2.fastq.gz	US1-3	PCR of ITS
SRR13393809	DS-4-9	Co-9_S64_L001_R1_001.fastq.gz	c88847a17f58e5a32c63ba4b6668ae41;ae9728058196d79f86db64c64b334add	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13393809/SRR13393809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13393809/SRR13393809_2.fastq.gz	DS4-9	PCR of ITS
SRR13393810	DS-4-8	Co-8_S52_L001_R1_001.fastq.gz	ba2fbe5dd9f751bd8040227754e88f56;3f60f0c546ddff5855211049be3fea69	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/010/SRR13393810/SRR13393810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/010/SRR13393810/SRR13393810_2.fastq.gz	DS4-8	PCR of ITS
SRR13393811	DS-4-6	Co-6_S40_L001_R1_001.fastq.gz	2fe19b975d3320d3312984428159c097;cf10ef5ac9695abfd42c675f74c8f610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/011/SRR13393811/SRR13393811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/011/SRR13393811/SRR13393811_2.fastq.gz	DS4-6	PCR of ITS
SRR13393812	DS-4-3	co-3b_S35_L001_R1_001.fastq.gz	39315381f00758d4d7dcdefa6874744a;a9d9f37cad15e74f44834885451aca98	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13393812/SRR13393812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13393812/SRR13393812_2.fastq.gz	DS4-3	PCR of ITS
SRR13393813	posi-1	posi-1_S73_L001_R1_001.fastq.gz	794eb8d05218e60c8d800cd57018c3ef;2cd15426f0dccb924794153e331a63d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/013/SRR13393813/SRR13393813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/013/SRR13393813/SRR13393813_2.fastq.gz	Control Phytophthora 2	PCR of ITS
SRR13393814	DS-4-2	Co-2_S16_L001_R1_001.fastq.gz	6418468607974d3c0a2684657da5fcab;860c85b8dacc804ffc04bd9f7870841d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13393814/SRR13393814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/014/SRR13393814/SRR13393814_2.fastq.gz	DS4-2	PCR of ITS
SRR13393815	DS-4-1	Co-1_S4_L001_R1_001.fastq.gz	77f1b42134d132ede939c27f6c8308fa;91ebc6c3b59f84dfc3ddbef4eb82a1ce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/015/SRR13393815/SRR13393815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/015/SRR13393815/SRR13393815_2.fastq.gz	DS4-1	PCR of ITS
SRR13393816	DS-3-7	Cly-7_S30_L001_R1_001.fastq.gz	9138e36ca17a49a9e18ef5b9f6def273;4cf6cc07b9156f153e759425da259e70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13393816/SRR13393816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13393816/SRR13393816_2.fastq.gz	DS3-7	PCR of ITS
SRR13393817	DS-3-6	Cly-6_S18_L001_R1_001.fastq.gz	76e9b9b682ddd742ec2a76e48a53d499;d6b052eb80ae3215d981b70be0aa7eff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13393817/SRR13393817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13393817/SRR13393817_2.fastq.gz	DS3-6	PCR of ITS
SRR13393818	DS-3-9	CLY9-2_S85_L001_R1_001.fastq.gz	967943f4b0904b10efb393053c41ad92;16fcdaa3a4efb99cc2f39b497659de96	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13393818/SRR13393818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13393818/SRR13393818_2.fastq.gz	DS3-9	PCR of ITS
SRR13393819	DS-3-5	CLY5_S83_L001_R1_001.fastq.gz	94517d99c3ac7e9bc17c807dbfc69902;021906037567aeea18e6b619a09d015a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13393819/SRR13393819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13393819/SRR13393819_2.fastq.gz	DS3-5	PCR of ITS
SRR13393820	DS-3-4	CLY4_S82_L001_R1_001.fastq.gz	f26c433ef9b86ae48a3ec15736947189;82846a021f8b2e3aa5e488178eb6a1ad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/020/SRR13393820/SRR13393820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/020/SRR13393820/SRR13393820_2.fastq.gz	DS3-4	PCR of ITS
SRR13393821	DS-3-3	CLY3-2_S81_L001_R1_001.fastq.gz	6412a0ad1b887ab769b707e50d821451;709168ed0b3dddb982195a767ad56eb1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13393821/SRR13393821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13393821/SRR13393821_2.fastq.gz	DS3-3	PCR of ITS
SRR13393822	DS-3-1	CLY1-1_S80_L001_R1_001.fastq.gz	fb6b841d0b7321c433571010fa9e73e2;a0bc191756e3793894ecafac561fdcfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13393822/SRR13393822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/022/SRR13393822/SRR13393822_2.fastq.gz	DS3-1	PCR of ITS
SRR13393823	DS-2-10	BOU-10-1_S23_L001_R1_001.fastq.gz	10826aff3ffa763de9fc040c762550d0;8e01f0ef28d6737b7df3bfeb053aa28d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/023/SRR13393823/SRR13393823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/023/SRR13393823/SRR13393823_2.fastq.gz	DS2-10	PCR of ITS
SRR13393824	vacio	vacio_S96_L001_R1_001.fastq.gz	a356093489108b1b0d46597f2c6a13b0;e108af9f10092c01c59e6cfc147c5c24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13393824/SRR13393824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13393824/SRR13393824_2.fastq.gz	Negative 2	PCR of ITS
SRR13393825	DS-2-9	BOU-9-1_S11_L001_R1_001.fastq.gz	e53514384d67d71f4e008e08f0c57d59;75fb56016d74d0442621c62efdebfcec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13393825/SRR13393825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/025/SRR13393825/SRR13393825_2.fastq.gz	DS2-9	PCR of ITS
SRR13393826	DS-2-8	BOU-8_S94_L001_R1_001.fastq.gz	b27cdeb132fb0852a2520b15e9e511e8;7c3191c40c2160ff1747893cb40adb56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/026/SRR13393826/SRR13393826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/026/SRR13393826/SRR13393826_2.fastq.gz	DS2-8	PCR of ITS
SRR13393827	DS-2-6	BOU-6_S82_L001_R1_001.fastq.gz	89d9a267ef55ac212f01f9b276e52c92;f7d462a8de9bc233ad1556c819a18802	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13393827/SRR13393827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13393827/SRR13393827_2.fastq.gz	DS2-6	PCR of ITS
SRR13393828	DS-2-4	BOU-4_S70_L001_R1_001.fastq.gz	56b4a97215d68d805b0e753f9ab5a5f5;b63fc8ed071d2d5a26efe5978fb92f45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13393828/SRR13393828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13393828/SRR13393828_2.fastq.gz	DS2-4	PCR of ITS
SRR13393829	DS-2-3	BOU-3_S58_L001_R1_001.fastq.gz	c2c5a148ef5ae1d5a24a01d4468e2593;0b684442aa891a1d05c829a1956558ac	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/029/SRR13393829/SRR13393829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/029/SRR13393829/SRR13393829_2.fastq.gz	DS2-3	PCR of ITS
SRR13393830	DS-2-2	BOU-2_S46_L001_R1_001.fastq.gz	eb389116372edc60ab01b6d711c5b00b;4abd929331ba1ee023e8f2fd21eafde0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13393830/SRR13393830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13393830/SRR13393830_2.fastq.gz	DS2-2	PCR of ITS
SRR13393831	DS-1-9	B-9_S86_L001_R1_001.fastq.gz	f6dfb84bcd1a9deeb80e2c9da47737b7;dd85c425a25280ec29903aa5aebe9b6b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13393831/SRR13393831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13393831/SRR13393831_2.fastq.gz	DS1-9	PCR of ITS
SRR13393832	DS-1-6	B-6_S74_L001_R1_001.fastq.gz	a0eedd8aa8fb7ca35409fee8499cffa1;342a0bacf8c7ea926c07967306f740d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13393832/SRR13393832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13393832/SRR13393832_2.fastq.gz	DS1-6	PCR of ITS
SRR13393833	DS-1-5	B-5_S62_L001_R1_001.fastq.gz	1f36ff28f9d4f392fb07d6d1dd638356;086b7bc20c0a9b3c22c9151b73d2356b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13393833/SRR13393833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13393833/SRR13393833_2.fastq.gz	DS1-5	PCR of ITS
SRR13393834	US-5-8	TYW-8_S22_L001_R1_001.fastq.gz	308f37d0cd730fd41b8d711601eaf6a9;cccdedb04f1ab37d18633fce9df95f26	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13393834/SRR13393834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13393834/SRR13393834_2.fastq.gz	US5-8	PCR of ITS
SRR13393835	DS-1-4	B-4_S50_L001_R1_001.fastq.gz	4971d9d9c31171e37ca517d4511d32f0;7e40d960f1212d974d9a605731ccb840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/035/SRR13393835/SRR13393835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/035/SRR13393835/SRR13393835_2.fastq.gz	DS1-4	PCR of ITS
SRR13393836	NEGATIVE	NEGATIVE_S96_L001_R1_001.fastq.gz	378b98a39ec06f0d163552292d328449;af7adeb6432df21d1801d0dafac0ed93	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/036/SRR13393836/SRR13393836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/036/SRR13393836/SRR13393836_2.fastq.gz	Negative1	PCR of ITS
SRR13393837	DNAMIXUNDIL	DNAMIXUNDIL_S93_L001_R1_001.fastq.gz	aa20dac56fe25ca756fce8521ab3c611;b8d7c561eab60e3ff4118affe9e15091	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/037/SRR13393837/SRR13393837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/037/SRR13393837/SRR13393837_2.fastq.gz	Control Phytophthora 1	PCR of ITS
